Titre,Année de publication,Texte intégral,Publication,Lieu de publication,Auteur,Éditeur,Date de publication,Sujet,Société / organisation
TIGERS BOLSTER BULLPEN WITH SIGNING OF KAHNLE; Harris not done tinkering with the lineup and looks to find more ways to get better,2025,"It's not the free-agent help Detroit Tigers fans were eyeing.
Most of the off-season watch with the Tigers has centred around free-agent third baseman Alex Bregman.
While Bregman remains on the market, the Tigers looked to beef up the team's bullpen by inking right-handed reliever Tommy Kahnle to a one-year deal for US$7.75 million.
""I think every organization in baseball is looking for pitching right now,"" Tigers' president of baseball operations Scott Harris said. ""So, there's a market for pitching clearly.
""We are excited to add Tommy because he induces an impressive combination of swing and miss and ground balls. He can get outs in multiple ways. He can handle righties and lefties and he gives our pen a different look.""
A change-up specialist, Kahnle is the second member of the American League champion New York Yankees to sign with Detroit along with infielder Gleyber Torres. He and right-hander Alex Cobb, who split last season between San Francisco and Cleveland, both inked one-year deals for $15 million.
""We're not done,"" said Harris, who did not discuss Bregman or former Tiger and free-agent starter Jack Flaherty. ""We're going to try and find new ways to make this team better. There's a number of ways we can do it. Free agency, trade, if we're talking about (Tigers' left-handed reliever) Tyler Holton, waiver claims also. But we're going to find ways to get better. Bullpen and our lineup are two areas that we are going to look to upgrade if we can.""
The 35-year-old Kahnle, who made his Major League Baseball debut in 2014, has been one of baseball's top relievers over the past two seasons after recovering from Tommy John surgery in 2020.
In 92 games with the Yankees the past two seasons, Kahnle allowed just 22 earned runs in 83 1/3 innings while walking 38 batters and striking out 93.
""He can handle righties (a career .206 batting average against) and lefties (a career .215 batting average against) and he gives our pen a different look,"" Harris said. ""We were looking for someone that can get outs in leverage spots and he has a history of doing that and he's performed as one of the better relievers in all of baseball over the last couple years. So, we're excited to add him to our group.""
Kahnle said he watched Detroit's remarkable late-season drive to make the playoffs last season and said watching the team's energy was part of what drew him to the Tigers.
""It seemed like the Tigers, early on, were very interested and they kind of maintained that interest throughout the process,"" said Kahnle, who said talks heated up in the last 10 days. ""They seemed like they showed the most interest.
""They were very high on me and what I could bring to the bullpen and so it just seemed like it was a good fit. They found something (last season), something clicked and it looked like a fun team and it looks like a good fit for me.""
While right-hander Jason Foley paced the Tigers with 28 saves last season, they had no official closer at the end of the year and Kahnle will likely go into a mix along with Foley, right-hander Beau Brieske, Holton and right-hander Will Vest. ""As far as how he fits at the end of games, he can pitch anywhere,"" Harris said of Kahnle. ""He's demonstrated in his career that he can get outs anywhere. I think we demonstrated as a team last year that we can get to the finish line in a number of different ways and I think that does give us an edge. How it all shakes out, I'm not quite sure, we're not done building our team yet.
""I think the way we pitched last year, especially in the pen, helps give us a bit of an edge and our players have spoken up about how some really like it.""
To make room on the 40-man roster for Kahnle, the Tigers designated right-hander Alex Faedo for assignment. The 29-year-old Faedo, who was a first-round pick by Detroit in 2017, appeared in 37 games for the Tigers last season and made six starts while going 5-3 with a 3.61 earned-run average.
""It's a move we really didn't want to make, but our 40 man (roster) is getting more talented these days and any time you add a new play to the roster it costs you a valuable contributor on the back end of your 40,"" Harris said. ""It's an unfortunate cost that comes with adding to our team."" jpparker@postmedia.com x.com/winstarparker","The Windsor Star; Windsor, Ont.","Windsor, Ont.","Parker, Jim",Postmedia Network Inc.,"Jan 31, 2025",Free agency; Professional baseball,
Former deputy back to lead Greens with May:   Pedneault resigned six months ago for personal reasons,2025,"Six months ago, Jonathan Pedneault suddenly resigned as the federal Green Party's deputy leader. Just as abruptly, he's now revived his bid to co-lead the party.
At the time, Pedneault said his exit was due to personal reasons (and on Monday, he told a press conference in Ottawa it was a surprise health diagnosis). Privately, he had been frustrated with internal roadblocks that delayed his efforts to co-lead alongside party stalwart Elizabeth May.
On Monday, the Québécois activist, coming back from several months of human rights work on the front lines of global conflicts, declared he was back. He and May would be reviving their effort to become the party's first ever co-leaders, and they would complete the process by March, pending members' approval, in time for the next federal election.
Pedneault told reporters he had a ""reckoning"" in his months away from Canadian politics - driven by what he saw abroad, the election of Donald Trump, the rising fortunes of Conservative Leader Pierre Poilievre, and the lack of unifying alternative options for Canadians.
""As is evidenced by the people behind us, we are united and committed to delivering for Canadians at a time when there are no progressive alternatives out there,"" Pedneault said, flanked by May, Green MP Mike Morrice, and nearly a dozen members of the Green shadow cabinet. ""I think Canadians struggle so much right now in their daily lives ... when it comes to the climate emergency, our relationship with our neighbours to the south, the cost of living situation. Those are the things that we are focused on.""
Internal strife has rocked the Green Party as it attempted to revive itself in recent months.
Following Pedneault's exit last July, several members of the party's elected federal council and fund board resigned following inner conflicts, including party president Natalie Odd. Of those who resigned, some were among those who pushed back against Pedneault and May's efforts to implement co-leadership, arguing that overhauling the party's constitution to allow for two leaders should trigger another leadership race.
Miranda Woodland, who wrote a scathing letter when she resigned from the board overseeing party finances this summer, told the Star she believes the resignations ensure few senior party members will stand in the way of May and Pedneault's co-leadership agenda.
She described a vote on making Pedneault co-leader ""undemocratic,"" because there is no leadership contest, and said it is contrary to the party's commitment to being run by the grassroots.
Even though Pedneault and May were among several candidates to run on a co-leadership ticket in 2022, the party's constitution allows only one leader.
May emerged victorious in that race, while Pedneault finished a distant third. The pair then functioned as co-leaders while they attempted to formalize their proposed leadership structure, and pushed back against internal critics by arguing they had a mandate because their campaign platform was clear: A vote for one is a vote for the other.
On Monday, May and Pedneault downplayed that internal strife as part of the ""ups and downs"" faced by any political party, denied internal roadblocks caused Pedneault's exit, and attributed the lengthy process to implement co-leadership to the party's grassroots approach.
Members started to receive ballots that could change the constitution to allow co-leadership and name Pedneault co-leader in one vote Monday night, according to two internal party emails obtained by the Star. Results are expected by early March, May said.
CREDIT: Mark Ramzy Toronto Star","Toronto Star; Toronto, Ont.","Toronto, Ont.",,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Jan 28, 2025",Leadership,
"Urgent plea made as 2025 shapes up to be one of the hottest years yet; New Brunswick Green Party leader says Ottawa, province must pump substantial funds into trains, buses and other less polluting alternatives",2025,"With a new forecast from Environment Canada predicting 2025 will be one of the warmest years on record, New Brunswick's Green Party leader is renewing calls for stronger measures to reduce greenhouse gases that heat up the planet.
David Coon has been following the climate crisis for decades and wasn't surprised by the latest global mean temperature forecast, issued by federal research scientists last week.
They predict that 2025 will be among the top three hottest years in human history. Last year was already the hottest on record, more than 1.5 Celsius hotter than the pre-industrial average, crossing a dangerous threshold.
""It means we have to get our heads out of the sand and take urgent measures to get off fossil fuels,"" Coon said in an interview. ""If we keep on this path, many places in Canada will become inhospitable and in some places of the world, uninhabitable.""
World leaders have pledged to stop global warming, drawing a line at a global average temperature increase of 1.5 Celsius over pre-industrial levels.
While 1.5 C doesn't sound very hot, it's an average, with places like the Arctic heating up considerably more and spots like southwestern Canada warming considerably less. But the overall higher temperatures, experts warn, will lead to more wildfires, rapidly melting ice and increasingly powerful storms, posing a threat to life on the planet.
Bill Merryfield, a federal research scientist with the Canadian Centre for Climate Modelling and Analysis, told reporters at an online press conference Jan. 15 the forecast they'd worked on was more accurate than many other climate models, showing graphs displaying the accuracy of their work over the last two decades.
This year, the La Nina effect in east-central equatorial region of the Pacific Ocean will play a small role in cooling temperatures, but not enough to make a huge difference, he said.
Although the 1.5 C threshold was crossed last year, it does not mean that it's permanent. A 20-year average is needed for that dangerous marker to become official.
""But it does signal that the warming climate is approaching the threshold,"" Merryfield said. ""2025 will rival, but probably not exceed, the record warmth of 2024. But it almost certainly will become one of the warmest three years on record, along with 2024 and 2023, despite the absence of the warming influence of El Nino.""
El Nino, which is part of the natural cycle in the Pacific, generally boosts global temperatures.
Coon said given the alarming trend, the top priority should be cutting back on transportation emissions, which account for about one-fifth of greenhouse gases belching from Canada, one of the biggest pollution sources.
He argued that the federal carbon tax, in place for six years, has failed to curb emissions because many Canadians, and in particular New Brunswickers, don't have an alternative to driving.
The leader said to convince people to drive less, they need alternatives, such as mass transit and better inter-city bus and train routes that are both affordable and convenient.
He's proposing a sizeable investment by Ottawa and the province to get more trains, buses and streetcars running.
""With our car culture, the alternatives for getting around are piecemeal and poor,"" Coon said. ""The only way it would make a real difference is if there was an alternative available to you.""
Brunswick News asked for an interview with provincial Environment Minister Gilles LePage over several days but did not hear back from his spokeswoman.
In the Liberals 2024 election platform, they committed to increasing active transportation infrastructure, including walking and cycling trails.
They also said they'd boost support for home energy retrofits and the free heat pump program. As part of helping people save energy, they pledged to introduce a program for solar retrofits.
Lastly, the Liberals promised to ensure all government buildings were net zero and that the province's vehicle fleet, including school buses, were electrified by 2035. Local Journalism Initiative reporter","Telegraph-Journal; Saint John, N.B.","Saint John, N.B.","Chilibeck, John",Postmedia Network Inc.,"Jan 23, 2025",Ocean currents; Greenhouse gases; El Nino,
Freeland sounded much like Harris,2025,"Re: Chrystia Freeland's Liberal leadership campaign launch, Jan. 19. I watched the launch of Chyrstia Freelands campaign for the Liberal party leadership. She sounded like Kamala Harris last year in the United States in her bid for president: more like a cheerleader than anything else. More style than substance.
Someone should remind her that Harris lost.","The Ottawa Citizen; Ottawa, Ont.","Ottawa, Ont.","Lamont, Robert",Postmedia Network Inc.,"Jan 22, 2025",,
Andrew Harris excited to start coaching career with Roughriders,2025,"Andrew Harris is gladly trading his football allegiance for a great opportunity.
Following a 14-year CFL career as a running back with the B.C. Lions (2010-15), Winnipeg Blue Bombers (2016-21) and Toronto Argonauts (2022-23), Harris, 37, was officially hired by the Saskatchewan Roughriders on Monday to serve as the team's new running backs coach
Now after years of being one of Saskatchewan's biggest rivals, Harris is looking forward to joining the team under head coach Corey Mace, who was the defensive coordinator in Toronto while Harris was playing with the Argos.
""I'm a rookie again now as a coach and you need guys that you can trust that will bring you along and will support you,"" said Harris, a Winnipeg native who retired after the 2023 season. ""I feel like this is a good situation for me, and you know, one that I would have never expected.
""But you know, at the end of the day, it's football. And I know football really well and I'm excited to help contribute to the success of the team this year.""
After his retirement from playing Harris, a four-time Grey Cup champion, got out of football and took a full-time sales job with a construction company.
""After I retired, I wanted to step away from the game a little bit and, you know, just re-evaluate what I wanted to do,"" said Harris, who worked part-time for the company while he was still playing. ""And honestly, I wasn't really missing football that much until the playoffs started last year.
""And that's when things really get geared up and I just know how that intensity kicks in and the attention to detail. That's when I first really started missing football, and was kind of thinking, maybe I want to get back into it.""
In fact, getting into coaching was something he had in mind while he was still playing. After signing with the Argonauts following five outstanding seasons in Winnipeg, Harris would occasionally put on the offensive headset during games that he wasn't playing in due to injury.
That experience, he believes, led him to this opportunity.
""The reason why I did that and took it upon myself is because I wanted to see if I would enjoy it,"" said Harris. ""So, I took the time while being hurt very opportunistically.
""I'm going to be rehabbing. I'm not going to be on the field. But what can I do to get myself in a situation to see what it's like to be a coach?
""After going through that process and seeing what it was, that's honestly what led to being here now.""
Harris, who said he spoke with others he knew who made the transition from playing to coaching, had conversations with a few teams from across the CFL about coaching jobs or front office opportunities.
But when he connected with Mace, something felt right despite the opportunity being with a team he went up against for so many years.
""The fan base is a great one,"" said Harris, who is replacing Anthony Vitale. ""It's always one of the toughest places to play, but always an exciting place to play. And I think there's a lot of energy and passion for the team, which is amazing.
""There's a bigger purpose there because you've got people that are expecting you to win and be great, and that pressure makes diamonds.
""It's just football, right?"" he added. ""The rivalries are amazing but as a coach, all you're expected to do is prepare your athletes to play the best they can and try to take the emotion out of it as much as possible.
""Being a Winnipegger, that's going to be hard to do, but at the end of the day, they're the other team that wanted to give me the opportunity to coach which I wanted to do.""
After ending his career as the top Canadian rusher in CFL history, Harris, who was named the league's top Canadian in 2017, believes he has a lot to offer in the coaching world.
""The one thing I know the most about is playing running back,"" said Harris, a five-time CFL all-star. ""I played 14 years and I've got a lot of knowledge to pass on. And I felt like if I would have waited any longer than maybe this opportunity would have went away.
""I was never the fastest, strongest, biggest, quickest dude. My edge was always my effort, and my edge was always the way I studied the game.
""Little intangibles that you can work on every day in practice and just finesse it over and over and over again, that's what I'm going to bring to the table for the Riders this year and a lot more.""
Harris, who is in the process of moving from London, Ont. back to Winnipeg, said he is also excited to work with Roughriders running back A.J. Ouellette, after the two were teammates with the Argonauts for two seasons.
""When I went to Toronto, I was really almost like a player-coach in a way,"" said Harris. ""My performance and dominance on the field that shifted. I wasn't the main guy anymore. And so, for me, passing nuggets and information and tips and little things down at A.J. and kind of being his ear on the sideline with the iPad; I was already kind of in that role.
""At the end of the day, though, playing with someone that respects you as an athlete (and) respects you as a player, it'll translate well to being respected as a coach.""
Harris also believes he can also help Ouellette put together a bounce back season in 2025 after the bruising back was limited to eight games last year after signing in Saskatchewan during free agency.
""The guy is obviously very physically gifted and works hard at being as strong as possible,"" said Harris. ""I'm challenging him now to kind of focus on being as dynamic and mobile as possible.
""I think that'll bode well for his longevity. It'll help him break more tackles because he'll be able to bounce off and have more balance.
""A.J. is a very, very smart player. He studies hard. He sees the holes well. He reads defences well.
""I think we're going to see some great things from A.J. and all the backs here.""
tshire@postmedia.com
Related
Roughriders hire Andrew Harris to serve as running backs coach
Roughriders' GM Jeremy O'Day updates QB situation and more",The Leader Post (Online); Regina,Regina,Taylor Shire,Postmedia Network Inc.,"Jan 21, 2025",Football; Coaching; Careers,
Roughriders hire Harris to serve as running backs coach; CFL,2025,"The Saskatchewan Roughriders have added a four-time Grey Cup champion to their coaching staff for the 2025 CFL season.
Andrew Harris, who won championships as a running back with the B.C. Lions, Winnipeg Blue Bombers and Toronto Argonauts, is joining Saskatchewan's staff as the running backs coach, replacing Anthony Vitale, who has stepped away due to personal reasons.
The 37-year-old Harris, a Winnipeg product, ended his career at the league's alltime Canadian rusher after retiring following the 2023 CFL season. Over 15 seasons with the B.C. Lions (2009-15), Blue Bombers (2016-21) and Argonauts (2022-23), Harris racked up 10,380 rushing yards and 51 touchdowns in his career. He also added 5,489 receiving yards and 32 touchdowns through the air.
Along with being a fourtime Grey Cup champion, Harris has received many personal accolades over his playing career, including being named the league's top Canadian in 2017. He was also named the Grey Cup's top Canadian in 2011 and again in 2019, where he also was named the game's MVP. Harris, who led the league in rushing four times, was named a CFL all-star five times and a West Division all-star six times.
While Harris developed a rivalry against Saskatchewan over his lengthy CFL career, he now joins the Green and White, where there are several familiar faces for him. A.J. Ouellette, Saskatchewan's top running back, played alongside Harris for two seasons in Toronto, where the two developed a close relationship. Roughriders head coach Corey Mace was also Toronto's defensive co-ordinator for those two seasons.
Before joining the Roughriders, Harris served as the director of football operations for the Vancouver Island Raiders of the Canadian Junior Football League, which is the same team he played junior football with before turning pro. tshire@postmedia.com","Leader Post; Regina, Sask.","Regina, Sask.",Taylor Shire,Postmedia Network Inc.,"Jan 21, 2025",Football,
Roughriders hire Harris to serve as running backs coach,2025,"The Saskatchewan Roughriders have added a fourtime Grey Cup champion to their coaching staff for the 2025 CFL season.
Andrew Harris, who won championships as a running back with the B.C. Lions, Winnipeg Blue Bombers and Toronto Argonauts, is joining Saskatchewan's staff as the running backs coach, replacing Anthony Vitale, who has stepped away due to personal reasons.
The 37-year-old Harris, a Winnipeg product, ended his career at the league's all-time Canadian rusher after retiring following the 2023 CFL season. Over 15 seasons with the B.C. Lions (2009-15), Blue Bombers (2016-21) and Argonauts (2022-23), Harris racked up 10,380 rushing yards and 51 touchdowns in his career. He also added 5,489 receiving yards and 32 touchdowns through the air.
Along with being a four-time Grey Cup champion, Harris has received many personal accolades over his playing career, including being named the league's top Canadian in 2017. He was also named the Grey Cup's top Canadian in 2011 and again in 2019, where he also was named the game's MVP. Harris, who led the league in rushing four times, was named a CFL all-star five times and a West Division all-star six times.
While Harris developed a rivalry against Saskatchewan over his lengthy CFL career, he now joins the Green and White, where there are several familiar faces for him.
A.J. Ouellette, Saskatchewan's top running back, played alongside Harris for two seasons in Toronto, where the two developed a close relationship. Roughriders head coach Corey Mace was also Toronto's defensive co-ordinator for those two seasons.
Before joining the Roughriders, Harris served as the director of football operations for the Vancouver Island Raiders of the Canadian Junior Football League, which is the same team he played junior football with before turning pro. tshire@postmedia.com","Star - Phoenix; Saskatoon, Sask.","Saskatoon, Sask.",Taylor Shire,Postmedia Network Inc.,"Jan 21, 2025",Football,
Harris joins ex-Argos on Roughriders coaching staff,2025,"Andrew Harris is a rookie again. The Saskatchewan Roughriders hired the CFL record-holder for career rushing yards by a Canadian (10,380) as their running backs coach on Monday.
The 37-year-old joins a few familiar faces. Most notably, Riders head coach Corey Mace - then as defensive co-ordinator - and running back A.J. Ouellette were both with the Toronto Argonauts when Harris was there in 2022 and 2023. Harris also played five seasons with the Winnipeg Blue Bombers.
""You need guys you can trust who will bring you along and support you,"" Harris told reporters. ""I feel this is a good situation for me, one I never would've expected being a Winnipeg guy ... but at the end of the day, it's football and I know football really well.""
Harris and Ouellette were close in Toronto, helping the franchise win the Grey Cup in their first year together. Harris said he was pretty much a player-coach already with the Argos and anticipates the transition will be seamless.
""I wasn't the main guy anymore (in the Argos running game), and so for me passing nuggets and information and tips and little things to A.J. ... I was already kind of in that role,"" Harris said. ""Now it's more official. The thing is that it's more personal for me, because I do care about (Ouellette) as a whole. I think as a coach you want to have that with all of your players, but it's a good start to have that relationship kicked off.""","Toronto Star; Toronto, Ont.","Toronto, Ont.",,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Jan 21, 2025",,
Harris goes green:   Former Bomber joins Roughriders coaching staff,2025,"The magnitude of the move is not lost on Andrew Harris, nor is the fact that many who share his hometown won’t be all that pleased with his new football home.
Harris might not have started his CFL career in Winnipeg, joining the B.C. Lions as a fresh-faced running back in his early 20s, but it is where he grew up and where he cemented himself as one of the greatest running backs ever to play the three-down game.
It’s also where Harris first harboured a healthy hatred for the Saskatchewan Roughriders. That disdain for all things green would take on a whole new meaning after Harris signed with the Winnipeg Blue Bombers in 2016, returning home to lead the Blue and Gold to a pair of Grey Cup championships and plenty of victories against the Riders — the Bombers’ most-hated rival — before joining the Toronto Argonauts in 2022.
It should come as no surprise Harris’s decision to join the Roughriders coaching staff, announced Monday as the club’s new running backs coach, was met with mixed reviews from both sides.
Love it or hate it, Harris said he’s simply focused on the new opportunity ahead of him and none of that stuff from the past. Make no mistake, his allegiance is now with Riderville.
“The fan base is a great one. It’s always been one of the toughest places to play, but always an exciting place to play, and I think there’s a lot of energy and passion for the team, which is amazing,” Harris said. “When you have 30,000 on your side, and then a whole province behind you that really cares about the team… there’s a bigger purpose there, because you’ve got people there who are expecting you to win and be great, and that pressure makes diamonds. I’m looking forward just getting into the group.”
Harris noted a few times during his media conference the Riders were the ones to offer him a job, adding he had spoken to a few teams in the process. What he didn’t say was he attempted to contact the Bombers but his calls were not returned.
It’s unclear why the Bombers were seemingly uninterested in adding to their coaching staff someone as decorated as Harris, who is the league’s all-time leader in rushing yards by a Canadian. He’s also a four-time Grey Cup champion and a five-time CFL all-star who is well respected across the league, particularly in Winnipeg.
Part of it would certainly be that the Bombers already have a quality running backs coach in Jason Hogan, who has done an admirable job with Harris’s replacement, Brady Oliveira. Oliveira, who has talked glowingly about his relationship with Hogan, has led the league in rushing the last two years and was named the CFL’s Most Outstanding Player in November.
Part of it could be a lack of trust between Harris and Bombers head coach Mike O’Shea that first arose when Harris showed up to training camp out of shape ahead of the 2021 season. With Oliveira ready to take on a bigger role the following year, the transition from one Winnipeg-born tailback to another led to a messy breakup between the Bombers and Harris, who was given a low-ball offer at the 11th hour before eventually signing with the Argos.
“It’s just football. The rivalries are amazing, but as a coach, all you’re expected to do is prepare your athletes to play the best they can and try to take the emotion out of it as much as possible,” Harris said. “Being a Winnipegger, that’s going to be hard to do, but at the end of the day, they’re the team that wanted to give me the opportunity to coach, which I wanted to do. Ability is nothing without opportunity, and they’re the ones giving me the opportunity, so I’m going to do whatever I can to make sure that I’m giving the backs, the offence, the run game — the whole team — the best I can.”
While Harris might be in enemy territory, there are a few friendly faces in Regina who should provide a soft landing.
Riders head coach Corey Mace was the Argos’ defensive co-ordinator when Harris was there for two years. It’s the same with Edwin Harrison, who is now running the offensive line in Saskatchewan after two years as the running backs coach in Toronto.
“When I was speaking with Mace… it’s about finding the opportunity with the right group of guys that I could gel with. I’m a rookie again now, as a coach, and you need guys that you can trust, that will bring you along and will support you,” Harris said. “I feel like this is a good situation for me, and one I never would have expected. But at the end of the day, it’s football, and I know football really well and I’m excited to contribute to the success of the team this year.”
Harris will also be working closely with No. 1 running back A.J. Ouellette, Saskatchewan’s prized free-agent signing last winter. Harris and Ouellette began as teammates in Toronto, but have since grown into close friends, with Harris sporting a Riders Ouellette jersey while attending a game in Hamilton last year.
It was nearby, in London, Ont., where Harris had been working a sales job as he prepared for life after football. But once the summer ended and fall arrived, with the leaves changing colour and the weather dipping, Harris knew he wasn’t ready to leave the game just yet.
“After I retired, I wanted to step away from the game a little bit and just re-evaluate what I wanted to do,” he said. “I wasn’t really missing football all that much until the playoffs started last year. That’s when things really gear up and I just know how that intensity kicks in and the attention to detail, and that’s when I first really started missing football and was kind of thinking maybe I wanted to get back into it.”
Another exciting development for Harris is that he’s moved his young family, including his partner Danica and their two sons, Axton and Eastyn, back to Winnipeg to be around a bigger support group. Harris also looks forward to seeing more of his teenage daughter, Hazel, who lives in Winnipeg.
“I’m excited just to be back home. Having two young boys and no family or support… it’s tough not having that, so really looking forward to having the family back with grandparents and my daughter and aunties and uncles and everyone around,” Harris said. “Family will stay there, and I’ll go back and forth for the first bit and then we’ll see how this year plays out.”
Jeff.Hamilton@freepress.mb.ca
X and BlueSky: @jeffkhamilton
Credit: Jeff Hamilton","Winnipeg Free Press; Winnipeg, Man.","Winnipeg, Man.","Hamilton, Jeff",FP Canadian Newspapers Limited Partnership,"Jan 21, 2025",Football,
Roughriders hire Andrew Harris to serve as running backs coach,2025,"The Saskatchewan Roughriders have added a four-time Grey Cup champion to their coaching staff for the 2025 CFL season.
Andrew Harris, who won championships as a running back with the B.C. Lions, Winnipeg Blue Bombers and Toronto Argonauts, is joining Saskatchewan's staff as the running backs coach, replacing Anthony Vitale, who has stepped away due to personal reasons.
The 37-year-old Harris, a Winnipeg product, ended his career at the league's all-time Canadian rusher after retiring following the 2023 CFL season. Over 15 seasons with the B.C. Lions (2009-15), Blue Bombers (2016-21) and Argonauts (2022-23), Harris racked up 10,380 rushing yards and 51 touchdowns in his career. He also added 5,489 receiving yards and 32 touchdowns through the air.
Along with being a four-time Grey Cup champion, Harris has received many personal accolades over his playing career, including being named the league's top Canadian in 2017. He was also named the Grey Cup's top Canadian in 2011 and again in 2019, where he also was named the game's MVP. Harris, who led the league in rushing four times, was named a CFL all-star five times and a West Division all-star six times.
While Harris developed a rivalry against Saskatchewan over his lengthy CFL career, he now joins the Green and White, where there are several familiar faces for him.
A.J. Ouellette, Saskatchewan's top running back, played alongside Harris for two seasons in Toronto, where the two developed a close relationship. Roughriders head coach Corey Mace was also Toronto's defensive coordinator for those two seasons.
Prior to joining the Roughriders, Harris served as the director of football operations for the Vancouver Island Raiders of the Canadian Junior Football League, which is the same team he played junior football with before turning pro.
tshire@postmedia.com
Related
Saskatchewan Roughriders unveil 2025 CFL schedule
Roughriders' GM Jeremy O'Day updates QB situation and more",The Leader Post (Online); Regina,Regina,Taylor Shire,Postmedia Network Inc.,"Jan 20, 2025",Football,Nom: Saskatchewan Roughriders; NAICS: 711211
